afraid	alive	angry	confused	depressed	envious	happy	helpless	hurt	indifferent	interested	judgmental	loving	open	peaceful	positive	sad	strong				
Why did they accept me if I don’t belong here? If his behaviour is this irrational I obviously cannot trust him. Why in the world would my mind make up something like that? He has been lying about everything this whole time.	 	Stop it.	 	 	 	 	 	 	 	 	 		 	It makes sense when I see it from his perspective.	 	 	 	 	 	 	 
They’ll start wondering why I was even allowed to be here in the first place. My legs are the only things not paralyzed.	 	You need to stop right now.	 	 	 	 	 	 	 	 	 		 	He is protecting himself and it has nothing to do with me.	 	 	 	 	 	 	 
I know exactly what is about to happen to me. Am I the one needing reevaluation? What else has he stolen?	 	I will start hating you.	 	 	 	 	 	 	 	 	 		 	It feels good to know that I couldn’t have changed anything.	 	 	 	 	 	 	 
Google knew my baby’s name before I did.	 	I don’t care about your opinions.	 	 	 	 	 	 	 	 	 		 	I wish I could help, but it is okay that I can’t.	 	 	 	 	 	 	 
	 	We are getting nowhere.	 	 	 	 	 	 	 	 	 		 	Perhaps there is a sweet spot between expectations and capabilities.	 	 	 	 	 	 	 
	 	There are no winners.	 	 	 	 	 	 	 	 	 		 	Perhaps finding that sweet spot is an impossible task.	 	 	 	 	 	 	 
	 	Don’t you dare bring up your opinions again.												I did my best.							
	 	They took all of our money.												If it feels like it wasn’t enough, it is my own making.	 						
	 	I feel a deep need to break something.												When everything is constantly changing, how can we take so much for granted?	 						
	 	If I could find the source, I would grab it by its throat and tell it to never come back.												I guess it would take a lot of energy to be open for everything at every moment.	 						
	 	I don’t ever want to see that kind of behaviour again.												That must be why babies need so much sleep.	 						
		It is unacceptable.												I should have told her exactly what I felt.	 						
		Bees in my head. I try to shake them off but they keep following me. The more I shake the louder they get.												It is too late now and it hurts.	 						
														I lost an opportunity to get closure.	 						
														Nothing is lost.	 						
														All can be gained.	 						
															 						
																					
											 	 	 	 	 	 	 				
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0				
			 	 	 	 	 	 	 	 	 	 	 	 	 	 	 				
2			 	 	 	 	 	 	 	 	 	 	 	 	 	 	 				
