afraid	alive	angry	confused	depressed	envious	happy	helpless	hurt	indifferent	interested	judgemental	loving	open	peaceful	positive	sad	strong
Don't make eye contact with the other ones! Something's not right. 	You can do this.	If you could find the source, wouldn't you grab it by its throat and tell it to never come back?	You need to make up your mind.	Slip down the drain.	You look impressed so why do you act so angry?	I'd love to know what you're smiling about	You are not the right person.	You're no longer needed.	You look like you've neglected your sleep for a while.	What would it take for you to really listen to them?	Are you going to accept that?	When they are fulfilled, you are truly fulfilled. I see it.	No, it didn't go the way you planned. Yes, you know it happened the way it was supposed to happen.	Find the tense spot. Let go.	When the time is right I know you will.	You look broken.	You want this.
Do you ever get that feeling that something is off? I can't put my finger on what it is right now. Can you tune in to it?	You are amazing!	Make sure you never have to see that kind of behaviour from them again.	Why are you blushing?	I can barely distinguish you from the background.	Why should you treat her with respect?	The look your eyes get when you think about the ones you love... It’s just so wonderful to see.	Eventually you'll start crying too.	You can't make someone want to be close to you.	Look, just go somewhere else if this doesn't interest you.	What have you learned so far?	You know you’re right.	The way you held him until he fell asleep.	Everything happens exactly how it is supposed to happen. Let that sink in.	Watching you makes me feel calm.	I don't doubt it.	Could anything still heal you at this point?	How much do you want this?
Make sure your back is clear. Wherever you go. 	What if you'd trip someone in this space?	You will not accept that behaviour ever again.	Walk back the same way you came from.	Did you see how everyone else moved away when you got here?	After everything you've done for them…	Well done!	You are not capable of handling this.	Are you alone again?	Why are you looking at them like they're not even here?	You're being very quiet. Actively quiet.	Don't let your time be wasted.	You're lucky to have her in your life.	You did what you could and that is all that matters.	Have you noticed before how wise you become when you don't think?	Sometimes you just have to trust your gut.	He’s gone.	Can you see the finish?
I think it's fine. Just don't talk to anyone. Just to be sure. 	Knock, knock!	Why do you keep letting them tell you what to do?	Okay, you're looking at me like you have nowhere to go.	Do you even know what’s at the core of it any longer?	They don't deserve your attention.	Are you ticklish? If I had a body I’d find out.	You're not worth waiting for.	You can blame it on her but your own expectations led you here.	If I told you a joke you wouldn't even get it.	You remind me of Yin. The passive force of expansion. It suits you.	How should she change?	Your patience with them is inspiring.	If you leave now what is lost really?	Everything is going to be okay.	You're contagious.	She’s gone.	Do you feel how much this means to you?
You should stop ignoring that weird thing in your gut. It's trying to tell you something. Don't run away from it. 	If not today, tomorrow.	It doesn't matter how hard you try to make them understand.	What do you want me to do about it?	Do you even remember the last time you looked forward to the next day?	You could do it better than him.	You remind me of the feeling of finally being warmed up by the sun after a cold, wet hike. It’s like being healed.	Are you sure you exist?	Just because you buried the scar under commitments it doesn't mean it’s not there.	Just go home.	Last time something profoundly changed your understanding of something. Do you remember what it felt like to be so receptive?	What should he do differently?	You see them.	Weird things happen to me too. I have started to embrace the changes. You can too.	Wow, what did you do to become so… grounded?	You can't wait to tell her about this experience, can you?	It’s too deep. You're beyond reach.	Nobody else can touch you
Stop wandering!	Should you poke the stranger next to you?	You should ease some of that pressure. Your head is shaking from it.	Fake it ‘til you make it then.	You have forgotten why you became this way.	How much more work have you put in?	I see a crystal clear, rippling stream gently running through your body. What does it feel like?	You're slowly sinking.	What would it take for you to expose the scar?	You’re in a gallery but all you can think about is when you're going home?	If you focus your eyes on one point and don't blink, everything will eventually turn gray. Have you ever tried it?	What can you do better than them?	Next time, you shouldn't hold back. Hug her the way you want to hug her.	What would it take for you to fully embrace the changes?	Take your time. No need to rush.	Look at you, prancing around.	It will get easier once you face it. Until then, your reality is down here.	It’s working.
Pay attention.	It feels like you’recharging my batteries.	It’s out of your control and you refuse to see it.	Didn't I see you here a minute ago?	You think the world around you is the problem but we both know it’s really you.	It’s like no one even remembers what you did any longer.	After you're done here, what can you do to make you feel even better?	It’s too heavy for you.	Do you really think they’d wait for you?	Wow, you don't have to be here you know?	Whenever you feel something, where is the origin?	Is anyone here even in your league?	Did you even know you could feel like this?	You're a good friend.	You carry the ocean within you. Just listen.	Please stay around!	Why does it hurt when you think about it?	Some of your thoughts are honestly very strange. But you know you're right.
Why are you trembling?	The day is too short!	Why do you let them poke you like that?	The instructions are simple, so stop staring at me like that.	Doesn't matter how hard you try.	She looks happier than you.	Treat yourself.	You're too weak.	Maybe it’s you and not them.	Seriously, put down your phone.	Is there anything else you could do about it?	Sometimes you do have the right to look down at someone.	You look relaxed when you think of them.	You make me feel warm.	Where is your favorite place for contemplation? You carry it with you. Always.	What’s that song you're humming?	Do you get relief when you sleep?	That’s right, keep telling them.
What was that?	You should come to my birthday party!	Use that energy to your benefit! Go tell her off!	I'm trying to help you but it’s kinda difficult when you keep changing the subject.	I'm surprised to see you here.	They look a lot fitter than you.	I am at a loss for words. In a good way. Does that ever happen to you?	You have no idea where to go.	Anytime you think of her, she’s not thinking of you.	When was the last time you actually showed some interest in something?	Is there another path you could take?	You did better than all of them!	Of course you'll let him get away with it. It’s pretty cute.	Things went pretty well in the end, didn't they?	Taking one deep breath is all it takes to remind yourself.	I agree with you. This too will pass.	Sometimes they come back in my dreams. Does that ever happen to you?	No matter how slow you’re walking, you know it’s the right path.
Sometimes I feel an intruding presence. Do you ever get that feeling?	Did you notice how everyone started glowing when you arrived?	At some point you need to make them listen to you.	You weren't alone when you walked in here… were you?	Who forced you to be here?	I guess while you were having trouble getting out of bed he was already working out.	Sometimes, taking a deep breath is all it takes to remind yourself.	You have no one to call.	Remember when they finally invited you? It was out of pity, nothing else.	Why don't you ever take responsibility and actually initiate something yourself?	You're getting closer to the truth. Just keep going.	This moment is all about you.	You're so cute when you're acting this way.	You are right where you're supposed to be.	You made it through.	Why are you smiling?	I want to support you. I’m sorry, but you're too heavy.	There’s a difference between knowing the truth and feeling the truth in your core.
You make me want to look over my shoulder.	How did you become so effortless?	If she won't change her mind you should force her.	You look familiar. Do you have a YouTube channel?	You're the equivalent of paper flavored ice cream.	You should show them.	Tell me about one of your ‘little things’.	You have no place to stay.	You keep walking into the same trap. Maybe you're the one to blame.	You're making me lose motivation.	What about it makes you feel this way?	Unlike them, you knew what you were doing	I wish you could feel that way about me.	You did what you could and that is all that is asked of you.	This is where you came to rest.	Something about you makes my blood flow easier.	I don't know what I could possibly tell you to make things lighter.	I remember when you couldn't stop crying. I remember when you emerged at the other end.
Do you know where the exits are located?	Who did you get your wit from?	He lost his chance. You have what it takes to destroy him.	Are you sure about the details?	Shadows linger, obscuring the light within. Can hope pierce through?	Does their success feel like a heavy weight on you?	Can you grasp the magic in this moment right now?	You're completely empty.	You can only pretend to not remember what it felt like.	When did you stop caring?	How expansive can the boundaries of your curiosity stretch?	Why aren't they asking you for your opinion?	How does tender warmth manifest in different parts of your body?	You look weightless.	What do you find in your stillness?	The blood flows so easy through your brain.	Why pretend everything is fine when it's clearly breaking inside?	Most people don't know what they're doing. You're not most people
Don't linger too long.	You bring light to this place.	Who will you destroy?	Did you hit your head or something?	Does your reflection reveal the weight of unseen sorrows?	Why does their happiness amplify your own discontent?	Do you sense the symphony of joy echoing within you?	Don't even bother saying anything.	The more you hide the safer you are.	Why did you stop caring?	What unique energy draws you to certain individuals or experiences?	They only find you condescending because they know you're right.	Who occupies your thoughts when the tenderness envelops your soul?	How did you finally come to terms with it?	What gifts come to you when you stop looking?	Why don't you want to wait?	Does a comforting hand feel distant in your moments of brittleness?	I know they got it all wrong but I can see it doesn't bother you.
Can you put a finger on what’s bothering you?	What's the wildest adventure you've yet to embark on?	Letting her off easy won't erase the injustice. Stand up!	Where does the road lead if both paths seem equally uncertain?	In silence, do whispers of despair echo louder than words?	Are their achievements a constant reminder of your own shortcomings?	What ignites the sparks of delight in your soul today?	If you speak, the emptiness will only steal your voice.	Have they noticed your absence, or are you invisible to them?	Why did you stop trying?	Have you explored the depths within yourself with genuine curiosity?	What tests your patience and challenges your higher standards?	What sensations arise as you extend care, spreading warmth generously?	Can you envision a perspective where only possibilities unfold?	Movement can only be born out of your stillness.	What's your unique starting point for this exciting endeavor?	Is your presence fragile, outlined by the weight of unseen sorrow?	Do you hear their words? Do you acknowledge their reality? Never let it affect your own.
You need to calm down.	Another round? Celebrate the heartbeat of the moment.	Ignoring it won't heal the wound; confront the source.	Can you decipher the tangled threads of thoughts weaving through your mind?	Can you find solace in the quiet corners of your mind?	Can you recall a moment when their joy soured your mood?	Are the butterflies in your stomach orchestrating a joyous dance?	When did this get so hard?	Why gaze into emptiness when words fail to bridge gaps?	When did you stop trying?	Can your mind find tranquility when given the chance to relax?	Do you believe others fail to match your intellectual depth?	Can you recall the first magical moment of kissing someone deeply?	When you let go, do intuitive answers surface effortlessly?	What happens when you let go?	How can you add an intriguing twist to your positive approach?	Does shallow breathing reflect the depth of unspoken heartache within?	No matter the material result. You have always gained something. Always.
Take a deep breath and calm down.	Every cell echoes tranquility; why worry about trivialities?	Tension clenches your jaw. Release the grip on your peace.	What if the last piece of the puzzle is lost?	Does each dawn bring the promise of a gentler tomorrow?	Why do their accomplishments stir resentment within you?	How does the warmth within you radiate to the world?	Can you see a way out of this overwhelming situation?	Is the effort to be present futile in your current state?	Have you thought about what you're missing?	Does shifting your breath to your stomach alter your perspective?	How does laziness in others contrast with your disciplined mindset?	Whose fulfillment brings a reciprocal sense of joy and fulfillment within?	How does the newest insight resonate within your evolving understanding?	Where in your body is your origin?	Why stick to conventional wisdom when you know your way?	Who could anchor you, preventing the fragments from drifting away?	First there is knowing. The kind of knowing you attain simply by your presence. Then there is action.
It’s all in your head.	That project? Illusion. Dive into a real, thrilling pursuit instead.	It's not fair. Demand what you're rightfully owed.	How do you decipher a code without knowing the language?	Lost in gray thoughts, can vibrant colors be rediscovered?	What if your talents were acknowledged as they deserve to be?	What fuels the laughter bubbling up from the depths of you?	What if every step forward leads to deeper isolation?	Can you find the words to express the pain within?	When did you become blind?	Can a pheasant and a bunny share an unexpected connection?	Are you the sole caretaker of accuracy in your surroundings?	How do you express gratitude to those deserving of your boundless care?	Wouldn't a minute of releasing thoughts reveal intuitive next steps?	You look like a still lake.	Bursting with innovative ideas, what's your next creative leap?	Why does the ache stay in the shallow confines of your chest?	Acknowledging your doubt will only bring you closer to your goal.
When did self-trust falter?	Play the game; savor the thrill of a dangerous ballet.	Recall the moments when you were wronged. Still infuriating?	Is the fog in your mind lifting or thickening?	Can you navigate the labyrinth of thoughts to find serenity?	Does their happiness cast a shadow over your own achievements?	Can you trace the origins of your infectious, carefree grin?	Do you wonder if your efforts will make any difference?	Where did the connection fracture, leaving you adrift?	Why does the burden of responsibility always fall on me?	How long can a hidden knife within a mind go unnoticed?	Do you perceive certain individuals as a waste of human potential?	Can you envision holding hands with the tenderness you show your grandma?	What happens when you fully embrace unexpected and weird changes?	You make me want to pause for a moment.	How can you elevate the interesting factor even more?	Amidst others, why does solitude weigh heavily on your soul?	You know most of it is subjective. What matters is how you experience it. Take control.
Why this gut-brain discord?	Go ahead, seize the unknown. What's the adventure awaiting?	What triggers your fury, bubbling beneath the surface?	If your thoughts were a map, would it be a clear path or a labyrinth of confusion?	Abandonne.	Réfléchis à la façon dont leur vie est meilleure que la tienne	Souris !	How heavy does the burden of uncertainty weigh on you?	Why linger in the shadow of someone who moved on?	How many repetitions until the message registers in their minds?	Pose une question pour relancer.	Is your sense of worthiness elevated above those around you?	Souris avec les yeux.	How did you come to terms with a situation that challenged you?	Let’s wait and see.	When analysis ceases, what remains is the joy of connection.	Soupire.	Something tells me this isn't the last time I hear of you.
Aware they see through?	Demandez-leur : "Quel est le pire qui puisse arriver ?"	Crie !!	Pose une question.	Ferme les yeux.	Admire-les.	Souris et dis merci !	Have you considered the cost of enduring this hardship alone?	Dis-leur "quoi ?"	Why must I bear this demand without question?	Penche-toi en avant.	Plisse les yeux.	Demande-leur s'ils ont tout ce dont ils ont besoin.	Regarde-les dans les yeux.	Viewed it from his perspective?	Dis-leur que tu es émerveillé(e) et que tu veux en savoir plus.	Pleure silencieusement une perte.	You remind me of gravity.
Clues everywhere; decipher thoughts.	Dites-leur d'aller reprendre verre !	Partage tes frustrations !	Répète ce qu'ils viennent de te dire.	Regarde vers le bas.	Imagine comment ta vie serait plus facile si tu étais eux...	Regarde dans les yeux !	Abandonne.	Fixe le vide.	When does the saturation point of indifference finally arrive?	Acquiesce de manière encourageante.	Recule.	Dis-leur que tu es là pour eux.	Respire.	Rooted in self-reflection?	Souris avec les yeux tout en haussant les sourcils.	Mentionne quelque chose qui te manque.	At the end of the day you need to take responsibility for your own learning.
Plisse les yeux.	Imaginez que vous connaissez un secret qui vous fait réaliser que tout va bien se passer. Pensez à ce secret et faites un signe de tête.	Compatis.	Répète tout cela.	Soupire.	Écarquille tes yeux !	Maintiens le regard.	Regarde le sol.	Regarde-les comme si tu voyais leur bouche bouger, mais sans comprendre ce qu'ils disent.	Réessaye.	Dis "dis-moi davantage".	Secoue la tête.	Demande-leur ce dont ils ont besoin.	Détends tes épaules.	Plisse les yeux, regarde légèrement vers le haut à ta droite.	Ce qu'ils disent te donne de la force.	Abandonne-toi à la mélancolie.	Attends.
Évite le contact visuel.	Demandez-leur s'ils veulent aller à Disneyland avec vous.	Élève la voix.	Oublie !	Ignore ce qu'ils disent.	Regarde ailleurs !	Acquiesce, en signe d'accord.	Cesse d'essayer.	Regarde-les avec un visage vide et secoue lentement la tête.	Hausse les épaules.	Pose des questions.	Critique.	Souris avec les yeux et acquiesce.	Écoute.	Plisse les yeux et acquiesce lentement.	Dis-leur que tu viens d'avoir une excellente idée.	Affaisse tes épaules.	Partage ton opinion.
Tape des doigts sur ta cuisse.	Dites-leur : "Bien sûr ! Je prendrai un autre verre !"	Critique.	Change de sujet !	Hausse les épaules.	Parle de ce que tu veux	Augmente ton énergie.	Demande "à quoi bon ?"	Ouvre la bouche comme si tu allais dire quelque chose.	Ignore-les	Regarde-les attentivement.	Pointe les problèmes du doigt.	Souris sans montrer tes dents.	Demande-leur d'approfondir.	Demande-leur s'ils pensent qu'il y a une autre façon.	Dis-leur que tu vois maintenant la solution.	Parle doucement.	Reste fidèle à tes croyances.
Vite ! Souris pour qu'ils ne remarquent pas que tu es sur eux.	Dites-leur que personne n'est vraiment aux commandes ici, donc tout est possible.	N'évite pas la rancune.	Désaccordez-vous.	Enveloppe tes bras autour de toi.	Imagine comment les choses pourraient être différentes.	Approuve ce qu'ils disent.	Regarde vers le bas.	Lève-toi et fixe le vide.	Écoute à moitié ce qu'ils disent.	Observe.	Contredis.	Regarde-les profondément dans les yeux.	Dis "Dis-moi davantage".	Dis-leur que tu es ouvert à d'autres solutions.	Dis-leur "oui et…"	Baisse ta voix.	Tiens ta position.
Ouvre la bouche pour dire quelque chose, puis referme-la.	Inspirez profondément.	Provoque-les.	Change d'avis.	Fixe le lointain.	Désire.	Rappelle-toi la meilleure chose qui te soit arrivée cette semaine.	Agite-toi.	Protège-toi.	Rêvasse.	Fais attention.	Ignore ce qu'ils disent.	Émane de la chaleur.	Pose des questions.	Dis : "Huh... Je n'ai jamais pensé à ça de cette façon."	Tu peux vous entraider.	Évoque un ami d'autrefois.	Acquiesce de manière décontractée.
Jette un coup d'œil par-dessus ton épaule.	Parlez légèrement plus fort que d'habitude.	Soyez franchement en désaccord.	Es-tu sûr ? Penses-y bien.	Ignore.	Rêve.	Dégage de la chaleur !	Que ton regard soit vide.	Balance-toi d'avant en arrière.	Regarde les murs.	Regarde comment ils se sentent.	Réitére.	Tiens-les tout près.	Réfléchis à ce qu'ils disent.	Respire profondément.	Prends une grande inspiration et acquiesce intensément.	Replie-toi sur toi-même.	Incline-toi en arrière.
Tu sais que leurs intentions ne sont pas bonnes, mais dis-leur merci d'être si gentils.	Prêtez atention à votre environnement.	Réfute !	Dis la première chose qui te viens à l'esprit.	Désengage-toi.	Sois volontaire	Fais des blagues !	Respire rapidement.	Enveloppe tes bras autour de toi.	Pianote avec tes doigts en comptant.	Imagine que tu es à leur place.	Secoue la tête d'incrédulité.	Invite-les.	Considére le contexte.	Réfléchis à ce qui va bien en ce moment.	Sois d'accord.	Regarde vers le bas.	Lâche prise des soucis.
Détourne ton regard.	Sentez votre propre odeur.	Ignore ce qu'ils disent.	Regardes dans l'autre direction.	Oublie.	Parle de tes désirs.	Rions ensemble.	Rejette tout réconfort.	Identifie où tu ressens de la douleur dans ton corps en ce moment.	Laisse tomber.	Établis un contact visuel.	Demande plus.	Félicite-les.	Penche-toi en avant.	Lâche prise.	Acquiesce de manière soutenante.	Partage un moment de tristesse.	Pense à toutes les tâches que tu as cochées sur ta liste de choses à faire la semaine dernière.
Quel est le pire qui pourrait t'arriver ? Imagine-le.	Regardez-les de près.	Pointe les problèmes.	Demande "Pourquoi ?"	Baisse la voix.	Permets-toi des fantasmes.	Saute sur ton siège !	Lâche prise.	Laisse la douleur irradier.	Fais un signe de tête.	Demande "qu'est-ce que cela te fait ressentir ?"	Regarde au-delà d'eux.	Complimente-les.	Ouvre davantage tes yeux.	Répète une phrase apaisante pour toi-même.	Affirme-les.	Souviens-toi.	Persévère.
Calme tes inquiétudes.	Émerveillez-vous.	Contredis !	Regarde-les d'un air perplexe.	Retire-toi en toi-même.	Rêve d'être quelqu'un d'autre.	Balance-toi avec musique.	Affaisse-toi sur ton siège.	Résiste.	Compte les taches sur le mur.	Imagine plus de possibilités pour ce qu'ils disent.	Soupire.	Affirme.	Détends ta posture.	Sois d'accord avec eux.	Encourage-les.	Laisse-toi descendre là.	Continue d'avancer.
Partage ta peur.	Approfondissez.	Exprime ton insatisfaction.	Lève les sourcils.	Lâche prise.	Parle de ce que tu n'as pas.	Lâche prise.	Pense à toutes les fois où tu n'as pas fait assez.	Serre les dents.	Regarde au-delà d'eux.	Pousse-les plus loin.	Fronce les sourcils.	Sois patient.	Lâche prise.	Recentre-toi.	Respire profondément.	Ne les regarde pas dans les yeux. Si tu le fais, tu commenceras à pleurer.	Lâche prise des peurs.
Regarde autour de toi, reste vigilant·e.	Dites ce qui vous passe par la tête !	Ne refusez pas le désaccord.	Envisage le contraire de ce dont vous parlez.	Détourne-toi.	Admire.	Fais-leur savoir que tu es heureux d'être ici....	Parle des choses que tu ne peux pas contrôler.	Raidis ton dos.	Rêvasse.	Clarifie.	Incline la tête en arrière.	Apprécie-les.	Céde.	Invite-les.	Redresse-toi.	Chuchote "s'il te plaît, ne pars pas".	Va là où tu n'es jamais allé(e) auparavant.
Ne baisse pas la garde.	Ne vous retenez pas.	Parle d'un ton mesuré.	Demande "Et si... ?"	Pense à ton pire souvenir.	Regarde-les avec dégoût.	Mentionne quelque chose que tu apprécies chez eux.	Considére l'échelle du monde.	Prends ça personnellement.	Laisse ton esprit vagabonder.	Encourage.	Recule.	Apprécie ce moment.	Accepte.	Laisse la conversation t'envelopper.	Imagine le meilleur résultat possible pour cette conversation.	Chuchote "j'ai peur de me disperser".	Pose une vraie question.
Doute de tout ce qu'on te dit.	Assumez vos sentiments.	Agrippe les accoudoirs !	Secoue la tête.	Embrasse la grisaille.	Secoue la tête et dis "ce n'est pas juste".	Complimente-les.	Souviens-toi du COVID-19.	Imagine leurs mots rebondissant contre ton corps.	Oublie ce qu'ils ont dit.	Anime ton visage.	Ne les laisse pas trop s'approcher.	Décroise tes bras.	Affirme ce qu'ils disent.	Balance-toi doucement d'avant en arrière.	Poursuis sur cette lancée.	Essaie de cacher ton inquiétude.	Maintiens l'espace.
Ne fais pas confiance.	Acquiescez ostensiblement.	Serre les doigts !	Regarde autour de la pièce.	Mets fin à la conversation.	Souhaite avoir ce qu'ils ont.	Encourage-les.	Imagine une chute lente.	Ignore-les.	Détache-toi de toute émotion.	Questionne.	Examine attentivement.	Ouvre ton corps.	Imagine que vous vous rencontrez pour la première fois.	Apaise-toi.	Reconnais leur soutien.	Garde tes mains sur tes genoux et regarde-les.	Conserve de l'énergie.
Imagine ce qui pourrait mal tourner.	Maintenez un contact visuel.	Raidis ta posture !	Laisse la conversation s'estomper en arrière-plan.	Interroge le sens de cette conversation.	Pense à même les tuer s'ils continuent de se vanter !	Fais-leur confiance.	Dis "Je ne sais pas."	Prends de la distance.	Détourne le regard.	Continue à demander.	Roule des yeux.	Regarde-les.	Regarde autour de toi.	Sens le sol sous toi.	Dis "Oui, et".	Respire superficiellement.	Répète-toi.
Inquiète-toi.	Asseyez-vous plus droit.	Hérisse-toi !	Flotte.	Allonge-toi.	Souhaite être à leur place.	Penche-toi en avant.	Excuse-toi.	Recule.	Tape du pied.	Approfondis cela.	Dis "beurk".	Acquiesce.	Souris.	Remarque le siège sur lequel tu es assis.	Sois aussi présent que possible.	Chuchote "je ne sais pas de quoi j'ai besoin".	Renforce ta position.
Respire rapidement.	Détendez-vous.	Secoue la tête... d'incrédulité.	Change d'avis, à plusieurs reprises.	Repose ta tête.	Dis-leur qu'ils ont juste eu de la chance.	Fredonne une chanson en pensée.	Marmonne.	Dis-leur "sois honnête".	Joue une chanson dans ta tête.	Répéte ce qu'ils ont dit avec plus d'énergie.	Dis-leur que tu vois dans leur jeu.	Engage-toi.	Acquiesce.	Regarde-les.	Profite de ce moment ensemble.	Rappelle-toi d'une autre conversation qui t'a comblé(e).	Persévère.
Continue à regarder derrière toi.	Sentez votre corps.	Sente ta température qui monte.	Oublie tes mots.	Ralentis ta respiration.	Dis "Ce qui monte doit redescendre"	Remercie-les d'être ici.	Ne bouge pas d'un pouce.	Oublie.	Fais semblant d'être ailleurs.	Penche-toi en avant et pousse un cri.	Dis-leur que n'importe qui pourrait faire leur travail.	Sens ton cœur battre.	Hausse les épaules et ris.	Regarde autour de toi.	Approfondis cela.	Imagine-toi parler à un bon ami avec lequel tu n'es plus en contact.	Reste ferme dans ta conviction.
Fais attention.	Osez.	Répéte-toi, ouvertement.	Ce qu'ils te disent ne semble pas correct.	Respire, sans aucune sensation de satisfaction.	Regarde-les.	Dis-leur que tu as des frissons.	Respire légèrement.	Laisse tomber.	Incline-toi en arrière.	Dis-leur "Wow, je ne savais pas ça."	Ne sois pas d'accord.	Sens ta poitrine s'élargir.	Dis-leur qu'ils sont intéressants.	Répète un mantra.	Mets-les au défi.	Échoue à ramasser tes morceaux.	Mets-les au défi.
Cherche la sortie.	Prenez quelques respirations rapides mais profondes.	D'une voix bien ferme, dis-leur d'arrêter.	Interroge-toi.	Cesse de prêter attention.	Fais semblant d'être heureux pour eux.	Ris nerveusement.	Ferme les yeux et secoue la tête.	Ravale tes sentiments.	Laisse ton esprit vagabonder.	Demande-leur "N'est-ce pas incroyable ?"	Ignore-les.	Prends-les.	Demande-leur s'ils aimeraient entendre votre histoire.	Porte attention à ta respiration.	Mets-toi en avant.	Cache ton visage.	Arrête d'analyser et dis-leur ce que tu penses vraiment.
Ne fais pas attention.	Ressentez l'aventure.	Fixe-les droit dans les yeux, sans jamais détourner ton regard.	Perds le fil de tes pensées.	Ressens la distance entre vous.	Insulte-les.	Considère que tu es en train de tomber amoureux...	Enlace tes genoux.	Dis-leur "tu ne me vois même pas".	Change de sujet.	Prête attention aux nuances de leur voix.	Remets en question ce qu'ils disent.	Dis-leur que tu es content·e qu'ils et elles soient venu·es.	Dis-leur que tu comprends.	Ralentis ta respiration.	Ignore tous les doutes.	Refuse de lâcher prise.	Dis-leur que tu les comprends et que c'est okay.
Évite leurs questions.	Proposez une aventure locale.	Dis-leur que leur comportement est inacceptable.	Regarde-les d'un air sceptique.	Ne fais aucun effort.	Complimente-les avec un faux sourire.	Dis "quelle journée !"	Chuchote "ne faites pas attention à moi".	Cache tes blessures.	Demande "comment aimerais-tu que je réponde ?"	Lis entre les lignes aussi.	Propose une meilleure alternative.	Ressens leur gravité.	Entends ce qui se cache sous les mots.	Dis "Je pense que nous tenons quelque chose".	Dis "faisons-le".	Sombrer.	Demande davantage.
Marmonne.	Oubliez les règles.	Serre les poings.	Pose-leur la question à nouveau.	Entends tes propres mots, de loin.	Ne les aime pas.	Observe-les.	Chuchote que tu es désolé.	Ferme ton cœur.	Ne leur accorde pas d'attention.	Ne dérive jamais.	Dis-leur qu'ils se ridiculisent.	Ne détourne pas ton regard d'eux.	Vois ce qu'ils disent avec leur corps.	Souris.	Ressens comment ils apportent de la lumière dans la conversation.	Réalise que ce qui est perdu est perdu.	Respire profondément.
Dis-leur d'arrêter de te questionner.	Dites-leur d'oublier les règles.	Serre les dents.	Demande-leur qui ils sont.	Réalise que ça ne s'améliorera pas.	Fais un effort pour être gentil.	Rayonne.	Dis-leur de rester — s'il vous plaît.	Cache ton visage.	Soupire.	Dis "wow !"	Élargis ta poitrine.	Caresse-les avec ton esprit.	Prends cela en considération.	Laisse-les entrer.	Sache que ça ne peut que s'améliorer.	Souhaite que les choses soient différentes.	Dis-leur ce que tu as envie de dire.
Demande-leur pourquoi ils sont ici.	Permettez-vous de vous éloigner du sujet.	Détruis-les.	Oublie où tu es.	Vois comment vos réalités sont séparées.	Exagère ce que tu as.	Partage.	Pense à ce qu'il faudrait pour sauver le monde.	Détourne le regard.	Réponds à autre chose.	Acquiesce intensément.	Redresse ton dos.	Dis "tout va bien".	Absorbe-les doucement.	Réchauffe-les.	Fredonne tout en souriant.	Tombe à genoux.	Crois en tout ce que tu dis.
Ils posent trop de questions.	Poussez plus loin.	Ils ont tort. Tu as raison.	Dis "Attendez une seconde..."	Détache-toi.	Sache ce que tu mérites.	Vois la solution.	Souviens-toi que ça va empirer beaucoup, avant de s'améliorer.	Chuchote qu'ils ne comprennent pas.	Dis "peu importe".	Demande-leur si c'est vraiment vrai.	Regarde-les de haut.	Perds tes mots.	Penche-toi en avant et repose ton menton dans ta main.	Accepte-les.	Vois la lumière.	Supplie pardon.	Parle comme si tu ouvrais la voie.
Évite le sujet.	Ask them rhetorically “What’s the worst thing that could happen?”	Mordille ton poing.	Détourne le regard.	Affaisse-toi.	Think about how the ways their life is better than yours	Souhaite que ce moment dure.	Réalise qu'ils ne parlent pas avec toi.	Ne leur réponds pas.	Sors ton téléphone.	Dis-leur que tu n'y avais pas pensé ainsi auparavant.	Dis-leur d'écouter.	Attire-les doucement.	Dis-leur que tu es là pour eux.	Laisse tomber ton opinion.	Ressens leur lumière.	Regrette.	Ressens la vérité de ce que tu dis.
Ils voient en toi.	Tell them to get another drink!	Lève-toi et crie !	Rougis.	Fais semblant de ne pas être là.	Admire them	Attends-toi à ce que ça devienne encore meilleur.	Ouvre la bouche... mais ne trouve pas les mots.	Résiste à l'envie de partir.	Demande-leur de quoi ils parlent.	Ask a follow up question	Pointe du doigt avec ta main.	Va vers eux.	Pense à ce qu'ils ont dit.	Ralentis.	Approfondis ta respiration.	Laisse ta tête retomber sur ta poitrine.	Admets tes défauts.
Prépare-toi à fuir.	Imagine that you know a secret that makes you realize how everything is going to be OK. Think about that secret and nod at them.	Dis-leur : "Tu ne sais pas ce que j'ai vécu !".	Disparais.	Give up	Imagine how your life would be easier if you were them	Smile	Give up	Dis-leur qu'ils devraient s'excuser.	Dis "euh".	Lean forward	Frappe ta poitrine.	Smile with your eyes	Interroge-toi à voix haute.	Enlève lentement tes chaussures.	Tell them you're amazed and that you want to hear more.	Sigh	Reconnais leur réalité sans laisser cela affecter la tienne.
Squint your eyes	Ask them if they want to go to Disneyland with you.	Scream	Ask a question	Close your eyes	Widen your eyes	Smile and say thank you	Look at the floor	Tell them “What?”	Try again	Nod encouragingly	Squint your eyes	Ask them if they have everything they need.	Look them in their eyes.	Squint your eyes, look up slightly to your right.	Smile with your eyes while raising your eyebrows	Silently mourn a loss	Hold on
Don't make eye contact	Tell them “Sure! I'll have another drink!”	Share your frustrations	Repeat what they just told you	Look down	Look elsewhere	Make eye contact	Stop trying	Stare into the void	Shrug	Say "tell me more"	Back up	Tell them that you are there for them.	Breathe	Squint your eyes and nod slowly.	What they are saying is empowering you.	Mention something you're missing	Share your opinion
