afraid	alive	angry	confused	depressed	envious	happy	helpless	hurt	indifferent	interested	judgemental	loving	open	peaceful	positive	sad	strong				
I know exactly what is about to happen to me.	Mais j'ai aimé ça.	They took all of our money. I really thought they were helping. But they took all of our money. I don't know what's worse, realizing that I am this naive or that there actually are people capable of that kind of deceit. The worst part is that I have no outlet. They are long gone and if I blame myself I will make things worse. I feel a deep need to break something.	Je suis tombé sur cette photo à nouveau. Cela arrive par accident de temps en temps, généralement quand je me sens déprimé. Il y a des années, j'ai lu le journal de Jesse. J'ai instantanément regretté. Je ne l'ai jamais refait après ça. C'étaient toutes mes pires craintes. Tout ce que je n'aime pas chez moi était là, sur les pages. Ma tête dure, ma croyance destructrice dans l'irréaliste. J'ai pris une photo parce que je savais que si je ne le faisais pas, je l'agrandirais encore dans ma tête. Mais maintenant, je tombe sur cette photo au hasard sur mon ordinateur tous les quelques années et je suis submergé de doutes à nouveau.	J'ai l'impression de dépenser toute mon énergie dans le vide de mon écran d'ordinateur, espérant désespérément que quelque chose se produira si je le fais assez longtemps.	I just felt a lack.	Il aurait pu rendre son dernier souffle depuis un lit d'hôpital, mais nous avons pu le ramener à la maison.	No one there to call.	Je fixe le sol.	De nombreux petits pas, chaque drain	Chaque matin, quand je venais vérifier ma lapine Rosa, elle était toujours avec le même faisan. Je les imaginais échanger des expériences de vie. Partager une connexion profonde. Je ne voulais jamais interrompre, mais à un moment donné, je devais m'assurer qu'elle avait tout ce dont elle avait besoin. Alors je causais à contrecœur la fuite du faisan de leur cérémonie. Mais il était toujours de retour le lendemain matin.	Maybe they should have chosen something that fits them better. Something easier.	Je te protégerai toujours.	L'odeur de l'être cher	When everything is constantly changing, how can we take so much for granted? I guess it would take a lot of energy to be open for everything at every moment. That must be why babies need so much sleep.	Il n'avait pas de jambes. Même ses cuisses n'avaient pas été épargnées. Mais ses mains étaient les plus fortes que j'aie jamais ressenties. Les autres lutteurs avaient de sérieux problèmes à le maîtriser sur le tapis. Ils essayaient de paraître cool, mais je pouvais voir leur frustration et leur étonnement. Je me souviens avoir réalisé à quel point mes problèmes devenaient soudain petits. Je me suis dit que je pouvais certainement le surmonter. Je trouve toujours plus de ma force intérieure quand je pense à lui.	You can be so close to someone one day and gone the next.	I kick out a 200 meter sprint. I feel my thoughts retreat, along with my opponents. I've beaten them. Pounding through a high of pain and ecstasy to the finish.	 	 	 	 
My legs are the only things not paralyzed.	Net et flou en même temps.	Why do I keep doing this to myself? The same pattern. Over and over again. Where did my lack of self respect come from? If I could find the source, I would grab it by its throat and tell it to never come back.	Je me demandais quel était mon but. Si je me distrayais simplement de cela, en essayant de m'insérer dans un endroit où je ne devais pas être. Il y avait si peu à offrir quand on avait déjà construit tout cela. À mesure que mon anxiété grandissait, encore et encore, je devais me rappeler que cela ne devait pas être à propos de moi.	Je ne sais pas ce qui se passe maintenant. J'avais l'impression de mourir lentement depuis des mois, peut-être des années. Tout était au point mort. Un ami était tellement inquiet le mois dernier qu'il est arrivé en panique chez moi en pensant que je me tuerais. Je n'avais pas l'intention de le faire, mais sa visite m'a fait réfléchir. Peut-être que c'est une idée réelle sur la table. Mais ne t'inquiète pas, je ne pourrais pas faire ça aux gens autour de moi. C'est juste tellement bon de googler.	A proof that I could be happier if things were different.	Comme c'est incroyablement doux d'être moqué par cette voix.	Nowhere to stay.	Les mots sont inutiles.	Allongé par terre	Je fais détendre mon esprit. Plus il est détendu, plus il est fort.	He calls me into the office. I'm out of dress code again, it's a detention. But so is everyone I argue. Another detention for talking back. That's not fair! Another, do I want to keep going? Suddenly I'm back in time out yelling at my mom. She screams back. My breathing is fast. I'm angry but focused. What to shout to frustrate her the most. Each attempt adds to my punishment, have to make it worth it. She keeps getting louder, I'm getting to her, but if I don't stop now, I'll be in here for a month.	J'aimerais qu'il soit debout pour que je puisse lui offrir ma place.	Le son d'un ruisseau	I should have told her exactly what I felt. It is too late now and it hurts. I think it is because I lost an opportunity to get closure. I will have to find it myself. I will remember this sensation. I will speak next time it arises. Nothing is lost. All can be gained.	La façon dont elle jouait du piano était comme si elle parlait à travers lui. Elle ne l'utilisait pas comme un instrument. C'était une extension d'elle-même. Je ne savais pas que c'était possible. Je ne savais pas que j'aimais réellement le jazz. J'ai manqué quelque chose. Je vais changer cela.	Could I stay in place if I were less reckless, more content? Or is everything always slipping away?	I know some people need deadlines, but for me, they've never been more than an administrative detail.	 	 	 	 
Trying to put it all together. Maybe they always do that to one person. As a game. I reevaluate our whole relationship. I am reaching for all thoughts containing clues. In shelter of the bushes he is going to rape me.	Nous sommes rentrés à la maison sans parler.	Look at me. I don't ever want to see that kind of behaviour again. Is that clear? If you have a problem with someone in this group you tell me right away and we will deal with it. When you choose to act this disrespectful you are breaking the rules that we all promised to follow. It is unacceptable. The same goes for all of us. Do we agree?	Tout ce qu'il me reste maintenant, c'est cette photo, me mettant en garde. J'aurais dû écouter. Je ne change jamais. Je ne peux pas la supprimer.	J'ai mis tout cet effort dedans et maintenant tu veux que j'arrête ? Comme si je n'avais pas de meilleures choses à faire ?	Elle a le droit de tenir sa main. De le faire rire. De s'endormir sur son épaule. Ce n'est pas juste. Pourquoi suis-je le seul à ressentir cela? Nulle part dans l'univers, c'est juste.	Je n'en croyais pas mes yeux.	It's dark.	Faire un effort est inutile.	Je suis allongé par terre.	C'est son énergie.	I've always had a problem with authority. I can follow the rules if I understand the point. But if that's not clear or I sense the system isn't enforced equally, I lose it.	J'espère qu'il rentre chez lui auprès de quelqu'un qui l'aime et prend soin de lui.	Mon esprit est calme. Ce que je perçois est ce qui l'occupe sans provoquer de vagues. Je perçois mes émotions et même elles ne font pas bouger mon esprit. Les détails sont solennels. Le temps est sans importance.	It is like my heart is leading an analysis by letting my brain naturally unfold. Not seeking new information. Just letting the pieces that are already there find their fitting pieces through the light influence of gravity that is already there. Some pieces are left by themselves. That is okay. I see every piece and every piece is right where it is supposed to be.	Un flux s'ouvre depuis le bas de mes entrailles et remonte jusqu'à mon cerveau en passant par mon cœur. Le flux est léger et sans effort mais puissant. Il facilite la respiration. Le monde extérieur disparaît et l'intérieur prend le relais. Il se déploie au-delà de mon corps.	We are seven, putting on a puppet show, when suddenly I notice our playing doesn't make sense anymore. What happened to the stories we used to make believe?	My expectations for myself far outpace any requirement others can set.	 	 	 	 
Why did they accept me if I don't belong here? If his behaviour is this irrational I obviously cannot trust him. Why in the world would my mind make up something like that? He has been lying about everything this whole time.	Il a tendu la main et attrapé mon poignet.	Stop it.	Si je lui envoie un message, elle pourrait ne pas répondre du tout, auquel cas je le saurais. Ou elle pourrait répondre. Sonnant heureuse ou dédaigneuse. Ou peut-être indifférente. Si je ne lui envoie pas de message, je peux continuer à vivre dans mon monde imaginaire. J'aimerais savoir ce que je risque vraiment.	Pourquoi ne ranges-tu jamais rien ? Regarde ce désordre. Il y a des trucs partout. Peux-tu te rendre utile et ranger un peu ? Pas là-bas !	Je voudrais pouvoir me réjouir pour lui, mais la vérité est que je ne peux pas. Ce qui me fait me sentir encore pire. Alors qu'il traîne avec les bonnes personnes, je réfléchis à l'image globale. L'objectif final. Je suppose que l'objectif n'est qu'une excuse pour qu'ils soient importants. Je pensais honnêtement que l'objectif lui-même était important.	Ils existent vraiment.	It's completely empty.	Je fixe le sol, mais je flotte au-dessus du toit.	Somnoler avec une tasse de café à la main	Je suis enveloppé par ses mouvements.	That's not fair! Do I want to keep pushing it?	Je ne comprends pas, mais je sais et j'ai confiance que tu as tes raisons. Je serai toujours là. Il n'y a littéralement nulle part ailleurs où je veux être.	Pas d'analyse, de questionnement, d'opinions ou autre pensée.	It makes sense when I see it from his perspective.	Je n'ai pas réellement besoin d'un plan !	When did it get so hard? It used to just flow.	There's nothing better than the feeling of making a todo list.	 	 	 	 
They'll start wondering why I was even allowed to be here in the first place. My legs are the only things not paralyzed.	Je sentais vaguement son corps pressé contre le mien.	You need to stop right now.	Tu as déjà acheté la robe ?? Je veux dire que ça change tout. Je pense. Combien as-tu dépensé ? As-tu dit à ta mère ? Es-tu vraiment sûre d'y aller ? Je ne viens pas avec toi. Trop de drame. En plus, je devrais acheter une robe moi-même. Devons-nous amener des rendez-vous ? Gaaah, pourquoi tu me fais ça ?	Si on prend un chat, ce n'est pas comme s'il y aurait seulement des câlins. Ce sera des semaines de pipi partout avant qu'il n'apprenne où faire pipi. Et parfois, ils choisissent de faire pipi dans tes chaussures juste pour t'embêter. Crois-moi, ce sera plus de travail que de câlins.	Je ne peux pas vraiment mettre le doigt dessus. Chaque fois que quelqu'un mentionne son nom, je me sens malade et en colère. Ce n'est pas de l'intimidation. C'est plutôt un sentiment de... ne pas être reconnu. Bien sûr, elle est douée pour ce qu'elle fait, mais juste parce qu'elle était à la télé ne signifie pas qu'elle est la meilleure. Ils ne peuvent pas distinguer un bon combattant d'un mauvais. C'est tout à propos de qui attire le plus l'attention. Ils n'ont aucune idée de ce que j'ai accompli. Comment pourraient-ils ?	Je ne sais pas si je criais contre moi-même ou contre Dieu.	I look for my heart, my lungs, anything.	Je ne suis pas capable de faire le lien entre le son, qui aurait pu être une voix, et son origine.	J'en ai tellement marre d'essayer.	Ses doigts se sont transportés à l'époque réelle de quand cela s'est produit.	Yelling at my mom. She screams back.	Je la trouve au coin de la maison en train de donner des coups de pied à vélo par terre. "Stupide, stupide vélo !" Elle crie. Dès qu'elle se rend compte que je la regarde, elle croise les bras et regarde en bas avec rage et honte. "VA-T'EN !" Je lui laisse de l'espace, mais je m'assure qu'elle peut toujours me voir. Elle commence à pleurer. "Je n'apprendrai jamais". Je m'approche, m'assois à côté d'elle et la place sur mes genoux. "Bien sûr que si. Le truc, c'est que nous ne savons pas comment faire quelque chose avant d'avoir appris à le faire. Et jusqu'à ce que nous ayons appris, nous échouons à chaque fois que nous le faisons. Et parce que nous ne pouvons pas regarder dans le futur et ressentir ce que c'est que de faire quelque chose que nous n'avons jamais fait, cela semblera comme si cela n'allait jamais arriver. Mais tout à coup, nous l'avons fait assez de fois et cela fonctionne !" Je fais une pause. Elle a cessé de pleurer. "Veux-tu essayer à nouveau ? Ou devrions-nous faire une pause ?" Elle me regarde avec agacement, se lève et attrape le vélo. Je suppose que mon discours était plus déroutant que motivant. Elle disparaît sur le vélo derrière un buisson avant que j'aie la chance d'offrir mon aide. J'entends des bruits métalliques. Elle se remet à crier. "STUPIDE VÉÉÉÉLO !" Je lui laisse de l'espace, mais je m'assure qu'elle peut toujours me voir.	Seulement l'expérience.	He is protecting himself and it has nothing to do with me.	Je peux simplement commencer avec ce que j'ai maintenant.	I'm looking around me but now everything is looking back.	My mind is focused. Each task laid out in front of me.	 	 	 	 
I know exactly what is about to happen to me. Am I the one needing reevaluation? What else has he stolen?	Mais je me souviens de ses yeux.	I will start hating you.	Je pensais vraiment que la brise fraîche de l'océan aiderait à clarifier mon esprit. À emporter la poussière avec elle. Ne laisser que les parties importantes. Elle ne l'a pas fait. La poussière est aussi lourde que tout le reste. Je fais glisser mon doigt à travers pour au moins apercevoir la surface. La poussière trouve lentement son chemin de retour pour la recouvrir. Soupir. Que dois-je faire ?	À quoi ça sert ? Ça va être bruyant. La nourriture n'est généralement même pas si bonne. Si je reste à la maison, je peux au moins manger ma nourriture ennuyeuse en silence.	De l'endroit où j'attends le bus, je peux voir les sièges en plein air et tous les visiteurs heureux. C'est le plus chic de nos bars locaux pas très chics. J'aimerais avoir le temps et l'argent. J'aimerais être l'un d'entre eux. Je suis sûr qu'ils se plaignent de choses simples. Comme des délais. Ou des baby-sitters. J'aimerais avoir des délais à me plaindre.	Mais nous voilà.	There's nothing.	Ses lèvres bougent.	Se sentir si complètement inefficace.	Ils prouvent la relativité de tout.	My breathing is fast. I'm angry but focused. What to shout to frustrate her the most?	Je ne comprends pas, mais je sais et j'ai confiance que tu as tes raisons. Je serai toujours là. Il n'y a littéralement nulle part ailleurs où je veux être.	Implique souvent l'appréciation.	It feels good to know that I couldn't have changed anything.	Je ne sais pas, mais j'ai hâte de voir où je vais aboutir !	The easy togetherness is gone, each of us lost to our individual confusion.	Someone once told me that procrastination was really an emotional management problem. So I developed tricks for shifting my emotions when I see myself put off one an item on my list.	 	 	 	 
Google knew my baby's name before I did.	Je me souviens de respirer.	I don't care about your opinions.	Je suis super bien ici. Mais je m'ennuie. Peut-être que je vais les rejoindre un peu. Ou je pourrais leur dire que je ne me sens pas bien. Je suppose qu'il n'y a pas de raison de mentir, mais je ne veux pas qu'ils pensent que je suis paresseux.	Mes sensations intérieures ne peuvent pas résister aux forces grises, semblables à du gravier, du monde extérieur.	Bien sûr, nous sommes tous touchés. Mais certaines personnes vivent dans d'immenses maisons avec des familles aimantes. Certains d'entre nous sont coincés dans de petits appartements. Avec des colocataires passifs-agressifs et leurs partenaires qui se greffent. Bon sang, je pourrais tuer la prochaine personne postant une photo de leur magnifique jardin.	Épaule contre épaule.	I don't want to say anything.	Je regarde par la fenêtre.	Finalement, il a déménagé.	Je regarde où la douleur devrait être.	Each attempt adds to my punishment, have to make it worth it.	Mon Dieu, parfois, j'ai envie de la serrer si fort que j'ai peur de lui faire mal. Je ne peux pas m'en empêcher.		I wish I could help, but it is okay that I can't.	Quand j'ai vu ce qu'elle avait fait, j'étais émerveillé.	Ma mère est arrivée alors que la police me menottait et me poussait à l'arrière de la voiture. Ma mère tendait la main à travers la fenêtre en essayant d'essuyer mes larmes avec un mouchoir en papier.	Quoi que cela soit, cela me rend heureux. Je n'ai pas besoin que ce soit autre chose. Je n'ai pas besoin que tu agisses d'une certaine manière, je n'ai pas besoin que tu me dises quoi que ce soit. J'en ai assez d'essayer d'avoir un plan. La seule chose qui reste quand j'arrête d'analyser, c'est : j'adore t'avoir près de moi. Que dire d'autre ?	 	 	 	 
All of a sudden he starts crossing the street. He is aiming for me. If we both keep our speed we will reach the same spot at the same time. To my right there is a grass slope leading to bushes in front of the canal. 	Inhalant de l'air.	We are getting nowhere.	Je me tiens à l'intersection de deux réalités différentes. Dans l'une, je suis proche de tous ceux que j'aime mais je m'ennuie. Dans l'autre, je serais seul. Mais il n'y aurait pas beaucoup de temps pour penser à cela avec toutes les autres choses qui se passent. Serait-ce irrespectueux envers l'univers si je lançais une pièce de monnaie ?	J'ai mis tout cet effort dedans et maintenant tu veux que j'arrête ? Comme si je n'avais pas de meilleures choses à faire ?	Tout ce que j'ai jamais voulu, c'était un poney à moi. À ce moment-là, je ne savais pas qu'il était possible de ne pas aimer quelqu'un juste parce qu'il avait quelque chose que je n'avais pas. Je ne me sentais pas non plus heureux pour elle. Je ressentais simplement un manque. Une preuve que je pourrais être plus heureux si les choses étaient différentes.	J'oublie de faire attention pour savoir quand je suis censé rire.	I'm scared the emptiness will steal my voice.	Le rire d'enfants qui jouent heurte une barrière invisible, tombe au sol et n'atteint jamais mes oreilles.	Trop pour moi, pour nous, à gérer.	Est-il stable à cause d'un déni fort ou à cause d'un profond respect de soi ?	She keeps getting louder, I'm getting to her.	La façon dont il éternue. C'est comme si son âme me chatouillait.		Perhaps there is a sweet spot between expectations and capabilities.	Une toute nouvelle façon de penser.	Je ne me suis jamais senti aussi... honteux n'est pas un mot assez fort. Je ne pouvais pas croire que c'était moi. Je ne pouvais pas croire que je pouvais décevoir ma famille si instantanément et complètement comme ça.	Écoute, je comprends que certains d'entre vous trouvent cela déroutant. Mais en fin de compte, vous devez prendre la responsabilité de votre propre apprentissage. Là où se terminent mes capacités, commencent vos responsabilités. Je ne peux pas tout vous donner dans une liste bien rangée. C'est ainsi que la vie fonctionne.	 	 	 	 
He is going to push me down the slope. In shelter of the bushes he is going to hurt me. I do not know why I keep walking. I know exactly what is about to happen to me. My legs are the only things not paralyzed. He reaches my side just next to me. I brace myself for the coming push. He passes me and keeps walking.	C'était douloureux et je me sentais complètement vivant.	There are no winners.	Mon esprit se déplace d'un côté de ma poitrine à l'autre. Chacun des côtés semble être la vérité absolue. On dirait que si je regarde assez profondément, je trouverai la réponse. Plus je vais en profondeur, plus cela semble superficiel.	Pourquoi ne ranges-tu jamais rien ? Regarde ce désordre. Il y a des trucs partout. Peux-tu te rendre utile et ranger un peu ? Pas comme ça, tu te trompes. Tout est faux.	Un morceau de ma poitrine manque. Je le cherche et le trouve chez quelqu'un d'autre. Ils pensent qu'il leur appartient. Peu importe à quel point j'essaie de le saisir et de le ramener, je ne peux même pas l'atteindre.	Mais j'entends chaque petite syllabe qu'elle dit. Je les vis comme si elles n'avaient pas de relations avec d'autres syllabes. Et chacune d'entre elles apporte un message unique à la partie de moi qui se souvient encore de ce que ressent la raison. Comment suis-je censé savoir quand elle arrive à la chute?	J'ai 63 ans et je vis soudainement avec ma mère à nouveau, toutes mes frustrations reviennent en force. Je dis, "Ne te souviens-tu pas comment papa nous terrorisait ? Ne te souviens-tu pas comment nous nous cachions tous dans nos chambres dès qu'il était à la maison ? Ne te souviens-tu pas comment la maison tremblait littéralement quand il criait ? Pourquoi ne nous as-tu pas protégés ? Pourquoi l'as-tu écouté ? Pourquoi n'as-tu rien fait ? Pourquoi es-tu partie dès que j'ai eu un bébé ? Ne voulais-tu pas connaître ta famille ? Pourquoi n'as-tu rien fait de ta vie ? Pourquoi es-tu juste partie ?" Elle a maintenant 90 ans.	Ici, c'est vide.	C'est juste une résistance constante	Cela nécessite une enquête plus approfondie.	I've always had a problem with authority.	Quand il est absent, je ne nettoie pas la maison. J'aime trouver ses cheveux partout. C'est comme si l'espace contenait encore sa présence.		Perhaps finding that sweet spot is an impossible task.	Je pourrais faire ça aussi !	Je veux remonter le temps et recommencer. On aurait dit que nous avions toujours une connexion spéciale et que je venais de la rompre. Je pensais être le genre de personne qui ne faisait pas d'erreurs. Je ne savais même plus qui j'étais à ce moment-là.	La vérité, c'est que j'ai peur. Je devrais le dire à quelqu'un. Si je peux me le dire, je peux le dire à quelqu'un d'autre.	 	 	 	 
Les gens aiment la vulnérabilité, mais tout ce que j'ai toujours voulu être, c'était cool.	Je ne savais pas pourquoi.	Don't you dare bring up your opinions again.	Si je lui envoie un message, elle pourrait ne pas répondre du tout, auquel cas je le saurais.	Si on prend un chat, ce n'est pas comme s'il y aurait seulement des câlins. Ce sera des semaines de pipi partout avant qu'il n'apprenne où faire pipi. Et parfois, ils choisissent de faire pipi dans tes chaussures juste pour t'embêter. Crois-moi, ce sera plus de travail que de câlins.	De l'épais goudron noir dans ma poitrine. Il s'écoule. Empoisonnant lentement le reste de mon corps.	Je n'en croyais pas mes yeux.	Ensuite, nous sortions du parking. Je n'avais jamais conduit auparavant, les cours de conduite commençaient dans quelques mois. Mais j'avais vu des amis le faire. J'étais très prudente. J'ai mis mes clignotants. tourné à gauche. et je le faisais, tout allait bien. Et puis soudain, une voiture arrivait en face. J'ai réalisé que j'étais dans la mauvaise voie. Je pensais que c'était une route à double sens, mais c'était à sens unique. Je ne savais pas quoi faire. J'ai conduit vers la gauche et la voiture qui arrivait a conduit vers sa droite. Tout s'est passé au ralenti. Mon frère criait. J'étais silencieuse en train de regarder la collision frontale entre nous deux.	Là-bas, je ne sais pas.	Encore, encore	Je prends une grande inspiration.	It's the incompetence that gets to me.	Ça fait six heures. Il n'y a pas de wifi dans l'avion. Je me demande s'il est déjà arrivé. Je sais qu'elle n'aime pas les démonstrations publiques d'affection. Sera-t-elle contrariée si je ne peux pas me contenir ? Ce vol prend une éternité !		I did my best.	Je peux ignorer ce que l'on m'a enseigné.	Ne me demande pas comment ça va, c'est tout ce à quoi je pouvais penser. Je baissais la tête en les croisant. Je n'ai même pas hoché la tête. Je n'ai pas regardé en arrière. Je ne pouvais pas regarder en arrière. Si je regarde en arrière maintenant, je vais craquer.	J'ai aussi passé un bon moment ! Mais il me manque quelque chose. Je ne peux pas vraiment mettre le doigt dessus. Je suppose que c'est juste une question de chimie. Je te souhaite vraiment tout le meilleur cependant.				
J'espère que c'était ok. J'espère que je n'ai pas été trop, et j'espère que j'ai été suffisant.	Il a dit qu'il le voulait.	They took all of our money.	Ou elle pourrait répondre.	À quoi ça sert ? Ça va être bruyant. La nourriture n'est généralement même pas si bonne. Si je reste à la maison, je peux au moins manger ma nourriture ennuyeuse en silence.	Elle a le droit de tenir sa main.	Ils existent vraiment.	Je ressens tellement de choses que je ne sais même pas par où commencer en ce moment. Il n'y a pas assez de mots.	Ici, c'est sûr. Il y a un vide effrayant. Mais c'est sûr.	Je suis épuisé	Je laisse mes épaules se détendre vers une position plus basse.	Je ne ferais jamais ça. Je ne serais jamais aussi égoïste, aussi centré sur moi-même.			If it feels like it wasn't enough, it is my own making.	Je peux le faire à ma manière.	J'avais dix-neuf ans. Je n'avais pas vu ma famille depuis six mois. Pendant qu'ils m'attendaient à l'aéroport, j'étais bloqué dans un autre aéroport, dans un autre pays. Sans téléphone portable. Avec de la fièvre. J'ai demandé à une dame au bureau d'information si elle pouvait bien m'aider à appeler ma mère. Elle a dit non. Je n'ai rien dit. Je n'ai rien montré. Mais je n'ai pas pu arrêter les larmes qui coulaient sur mes joues.	Mon patron m'a demandé pourquoi je n'étais pas venu travailler hier. Je lui ai dit exactement ce qui s'était passé. Je suis allé à Disneyland.				
Le micro-ondes a disparu. Il a volé mon micro-ondes. Je cherche toutes les pensées contenant des indices. J'essaie de tout mettre en ordre. Pourquoi diable volerait-il mon micro-ondes ? Mon instinct me dit "il n'est pas digne de confiance" alors que mon cerveau dit "tu dois être plus compréhensif". Si son comportement est aussi irrationnel, je ne peux évidemment pas lui faire confiance. Qu'est-ce qu'il a d'autre volé ? Je réévalue toute notre relation. Chaque action que je voyais auparavant à la frontière entre la méfiance et la compréhension est maintenant clairement du côté de la méfiance. Il a menti sur tout tout ce temps. Je regarde l'étagère où le micro-ondes était. Il est là. Toujours sur l'étagère. Personne ne l'a volé. Pourquoi diable mon esprit inventerait-il quelque chose comme ça ? Suis-je celui qui a besoin d'être évalué ?	Tout semblait net et flou en même temps. Je sentais vaguement son corps pressé contre le mien alors qu'une colère croquante rayonnait vers l'extérieur.	I feel a deep need to break something.	En ayant l'air joyeuse ou dismissive.	Regarde ce désordre.	Ce n'est pas juste.	Je ne sais pas si je criais contre moi-même ou contre Dieu.	Je dois faire mieux la prochaine fois. Elle lave toujours la vaisselle avant que je ne réalise même qu'elle doit être lavée. Ils pensent tous que je suis paresseuse, mais je ne le remarque tout simplement pas. Je ne sais pas comment être comme eux. Je ne sais pas comment me soucier des bonnes choses. Je dois faire mieux.	Je suis vaguement conscient du monde physique et de mon propre corps. Une sensation de flottement. C'est comme une évasion qui me soulage. En même temps, c'est une prison.	Le flou de visages	Ma respiration passe de mes poumons à mon estomac.	Je ne comprends pas comment les gens peuvent sortir sans masque en haussant les épaules en disant qu'ils n'ont pas peur de tomber malades. Comment peuvent-ils se soucier si peu des autres ? Comment peuvent-ils être si ignorants de leur propre impact sur les autres ?			When everything is constantly changing, how can we take so much for granted?	Je ne savais pas que c'était possible.	Il n'y a pas d'énergie à épargner pour aucun muscle. Et pourtant, tout tremble. Surtout ma poitrine. C'est un tremblement doux et rapide. Son rythme pourrait être facilement perturbé. Si c'est le cas, mon existence sera submergée.	Je passe plus de temps à l'école que nécessaire parce que je ne veux plus rentrer à la maison dans ces conditions. Je ne sais pas quoi faire, mais je ne peux pas continuer comme ça. Nous avons besoin d'un changement. Nous avons besoin d'un changement sérieux.				
Je regarde les mêmes actions maintenant, me réévaluant. Je dois être plus compréhensif et faire confiance.	La quantité que je veux être là prendrait un couple de vies, mais nous avons au plus quelques heures.	If I could find the source, I would grab it by its throat and tell it to never come back.	Ou peut-être indifférente.	Pas comme ça, tu te trompes. Tout est faux.	Pourquoi suis-je le seul à ressentir cela ?	Mais nous voilà.	Sa mère est partie précipitamment juste quand j'ai commencé à la nourrir. J'ai essayé de la distraire. Au lieu de faire attention à moi ou à la nourriture, elle tend la main vers la porte d'entrée derrière elle et hurle. C'est comme si maman avait cessé d'exister par une sorte de magie maléfique. La porte était la dernière chose à avoir expérimenté sa présence. "Chérie, regarde par ici !" Rien. Je lui caresse la joue. "Ça va aller, je promets. Maman te manque aussi et elle revient bientôt." Les cris s'intensifient seulement. Parfois, elle pleure d'une manière qui me fait penser qu'elle a juste besoin d'attention. C'est le genre de pleurs qui vient d'un lieu de perte profonde et inconsolable. Je la prends dans mes bras et la berce. "Je t'aime. Tout va bien." Peu importe ce que je fais. Je ne suis pas la bonne personne. Son visage est rouge et mouillé. Mes oreilles font mal. Finalement, je commence à pleurer aussi. Ce n'est pas ainsi que cela devrait être géré, mais je ne suis pas capable.	Le lac est noir. Il ne reflète même pas le ciel nocturne d'un bleu profond. Il y a un bruit d'eau clapotant contre le petit quai. Le doux vent apporte un son déformé de bavardages provenant de la cabane en haut de la colline. Une lumière chaude et jaune venant des fenêtres rend la colline plus accueillante que ce quai. Ils n'ont même pas remarqué que je suis parti. Ils ne le feront probablement pas. Je me demande ce que c'est que d'être regretté par quelqu'un.	Impossible de s'endormir, impossible de se réveiller	Réussite.	Si souvent, je pense simplement dans ma tête : fais mieux. Sois meilleur. Allez.			I guess it would take a lot of energy to be open for everything at every moment.	Je vais changer cela.	S'il te plaît, ne pars pas maintenant. J'ai besoin d'une main à tenir. Ma propre présence ne suffit pas. J'ai besoin de toi pour m'empêcher de me disperser.	Ne cherche pas à me faire me sentir coupable. C'est hors de mon contrôle. Cela me touche aussi et cela me fait sentir encore pire quand tu me parles comme ça. J'ai fait ce que je pouvais et j'apprécierais vraiment une certaine reconnaissance pour cela.				
Si quelqu'un me demande ce que j'en pense, il se rendra immédiatement compte que je n'ai aucune idée de ce dont je parle. Il commencera à se demander pourquoi on m'a même permis d'être ici en premier lieu. La femme en chemise grise à boutons le pense déjà. Lors des présentations, elle m'a regardé d'un air qui disait "Trop prévisible. Incapable de former des pensées avec le moindre fondement." Pourquoi m'ont-ils accepté si je n'appartiens pas ici ? Peut-être le font-ils toujours à une personne. Comme un jeu. Je n'aurais jamais dû postuler.	Je suis obsédé par tout. Je suis presque maniaque. Je prends des nouvelles des amis et chacun est un monde entier en soi.	I don't ever want to see that kind of behaviour again.	Si je ne lui envoie pas de message, je peux continuer à vivre dans mon monde imaginaire.	Si on prend un chat, ce n'est pas comme s'il y aurait seulement des câlins.	Nulle part dans l'univers, c'est juste.	Épaule contre épaule.	Nous partons en excursion après le déjeuner. Nous sommes assez grands pour prendre le bus tout seuls. Il nous faudra probablement trente minutes pour arriver au lieu sportif depuis notre école. Cela semble être une grande responsabilité. Un peu effrayant même. La cafétéria sert un déjeuner de Noël spécial aujourd'hui. Ce qui signifie que tous les enfants veulent des secondes et la nourriture s'épuise. Pour être plus précise, la nourriture s'épuise juste avant mon tour. Alors que je n'ai pas le choix que d'attendre, mes camarades de classe terminent leur repas et partent pour le bus. Je ne vaux pas la peine d'attendre. Je ne termine pas ma nourriture. Je ne vais pas en excursion. On dirait que je ne suis pas sûre d'exister.	Le rire d'enfants qui jouent heurte une barrière invisible à six pieds de moi. Il tombe au sol et n'atteint jamais mes oreilles. Ici, c'est vide. Là-bas, je ne sais pas. Ici, c'est sûr. Il y a un vide effrayant. Mais c'est sûr.	Somnoler avec une tasse de café à la main	Mon corps suit mon esprit et mon esprit suit mon corps.	J'essaie de pratiquer la patience. Cela ne vient pas facilement pour moi. Ma mère n'avait aucune patience. Elle nous criait dessus à chaque erreur. Elle traitait toute erreur comme une offense personnelle. Je me rappelle constamment que les gens font des erreurs parfois.			That must be why babies need so much sleep.	C'est le genre de personne que je veux être.	Je voulais être honnête. Mais à chaque fois que j'essayais, j'entendais ma voix trembler. Je devais faire de longues pauses. Prendre de profondes respirations. Mais cela n'aidait que pour l'instant. J'ai essayé de faire semblant que tout allait bien, mais je pense qu'ils ont tous remarqué.	Le chemin de mon esprit à ma région du plexus solaire est ouvert et dégagé.				
